[11:35:56 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c1935bb6-a813-40bc-a155-15b1e1d38613
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b6d37f6b-1d3a-4003-a411-b9598ee739fc
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b6d37f6b-1d3a-4003-a411-b9598ee739fc
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=dbe1735a-2e42-4d1c-8f51-da6b9b00767b
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: dbe1735a-2e42-4d1c-8f51-da6b9b00767b
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c0737b06-7908-4091-9737-b1870fac6fa1
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c0737b06-7908-4091-9737-b1870fac6fa1
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=fcd94c90-7540-4d57-a13f-964127a56d5a
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: fcd94c90-7540-4d57-a13f-964127a56d5a
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=34d977c3-3c6b-46bb-8f71-1ccc200e167e
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 34d977c3-3c6b-46bb-8f71-1ccc200e167e
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=dd7a1d01-6dfb-4897-90e6-d3962a07efa7
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: dd7a1d01-6dfb-4897-90e6-d3962a07efa7
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=dcc01e49-e1de-4727-8cc0-f53e4e94c673
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: dcc01e49-e1de-4727-8cc0-f53e4e94c673
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=4aa13900-df20-4210-9ef0-9c2800fd7294
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 4aa13900-df20-4210-9ef0-9c2800fd7294
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=cc7fe654-f968-4abc-af74-82ec4ab3867c
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: cc7fe654-f968-4abc-af74-82ec4ab3867c
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=da8a0336-3a85-48e8-b4ca-e4646220be22
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: da8a0336-3a85-48e8-b4ca-e4646220be22
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=85350108-675e-44c6-a16d-3ede714de6f4
[12:21:48 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 85350108-675e-44c6-a16d-3ede714de6f4
[12:21:48 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=2921d57b-f3a4-4d4e-b0db-2c5a26c665b5
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 2921d57b-f3a4-4d4e-b0db-2c5a26c665b5
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b52624cb-bea1-4137-8046-b6ecc8c30b73
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b52624cb-bea1-4137-8046-b6ecc8c30b73
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d1833cc8-871e-4a23-952e-cb56d1abf55a
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d1833cc8-871e-4a23-952e-cb56d1abf55a
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=9123ec59-6078-4ecd-8cba-4bc99c7b5411
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 9123ec59-6078-4ecd-8cba-4bc99c7b5411
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=584fe384-4133-47fc-9aff-dca2defa58a3
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 584fe384-4133-47fc-9aff-dca2defa58a3
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=bc919684-13d8-49ce-a0ff-80c580e64c5b
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: bc919684-13d8-49ce-a0ff-80c580e64c5b
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=5b22409a-30fd-4bd3-908d-9b601a8da00d
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 5b22409a-30fd-4bd3-908d-9b601a8da00d
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=27ac05a4-71f3-4914-b9d3-c5bfbd7be204
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 27ac05a4-71f3-4914-b9d3-c5bfbd7be204
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=ac836f98-e3dd-428c-be58-0070574d87ce
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: ac836f98-e3dd-428c-be58-0070574d87ce
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c9409d17-dad2-4d90-a27f-209a6d929e9e
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c9409d17-dad2-4d90-a27f-209a6d929e9e
[12:21:49 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=4223179f-47ab-40d0-96df-da69e37369e6
[12:21:49 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 4223179f-47ab-40d0-96df-da69e37369e6
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b0328525-b44a-4b41-90e1-ce2ca619dac3
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b0328525-b44a-4b41-90e1-ce2ca619dac3
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=7f078270-d7de-490d-9ba9-253dd65b5fa7
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 7f078270-d7de-490d-9ba9-253dd65b5fa7
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=7218c4a9-5dd4-4490-a227-cf60e1e1155f
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 7218c4a9-5dd4-4490-a227-cf60e1e1155f
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=72afc4aa-abe2-45b8-b38f-8ea052bf8f41
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 72afc4aa-abe2-45b8-b38f-8ea052bf8f41
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e04f8b86-2509-4627-8ac0-dbb7db1889ff
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e04f8b86-2509-4627-8ac0-dbb7db1889ff
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=ef833c3e-1752-40d1-bd82-3e26176cc33e
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: ef833c3e-1752-40d1-bd82-3e26176cc33e
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=23265ff9-773c-4653-8cee-9d948ad76d1a
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 23265ff9-773c-4653-8cee-9d948ad76d1a
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=61baa8e9-234a-445e-b939-3db5dbadb81c
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 61baa8e9-234a-445e-b939-3db5dbadb81c
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e7c30218-55d7-4fd9-9eae-b79ee7e62c29
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e7c30218-55d7-4fd9-9eae-b79ee7e62c29
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=0770ab55-ce2d-4c69-829d-e9879bed8e42
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 0770ab55-ce2d-4c69-829d-e9879bed8e42
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3f54e67a-d420-45ca-8574-7c732b6cd63e
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 3f54e67a-d420-45ca-8574-7c732b6cd63e
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=48018b46-d639-4c11-b536-78f3b5a8f7cf
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 48018b46-d639-4c11-b536-78f3b5a8f7cf
[12:21:50 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b4bd88f2-3d9b-45c7-ae3a-5ed02c6434c8
[12:21:50 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b4bd88f2-3d9b-45c7-ae3a-5ed02c6434c8
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=bd680a64-1feb-475e-b071-2ff1706d209b
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: bd680a64-1feb-475e-b071-2ff1706d209b
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=a974237c-4096-4124-89fa-f402cfcd3bde
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: a974237c-4096-4124-89fa-f402cfcd3bde
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b0099454-5532-4064-8be1-29b1ff9e2de4
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b0099454-5532-4064-8be1-29b1ff9e2de4
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=7e15abba-2802-4183-9ce5-75525dfa48ce
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 7e15abba-2802-4183-9ce5-75525dfa48ce
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=bcc05282-6f94-4741-9bc8-bc3b160b4d54
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: bcc05282-6f94-4741-9bc8-bc3b160b4d54
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=51b7463e-b612-430d-818c-384dd0221ff5
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 51b7463e-b612-430d-818c-384dd0221ff5
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=7f4cc43d-08b5-46a0-ab0e-3a9c8e8ff8f2
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 7f4cc43d-08b5-46a0-ab0e-3a9c8e8ff8f2
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=a69e056b-70a2-44e0-9553-2e3a0dca9952
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: a69e056b-70a2-44e0-9553-2e3a0dca9952
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=6436202c-d076-423b-8c47-832f471cf82f
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 6436202c-d076-423b-8c47-832f471cf82f
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=a856b724-cea7-4d5d-9c66-9e60d81155db
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: a856b724-cea7-4d5d-9c66-9e60d81155db
[12:21:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=33c0a58b-2ef9-469c-a544-8cee868cb3d3
[12:21:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 33c0a58b-2ef9-469c-a544-8cee868cb3d3
[12:29:17 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e1b79431-bce3-47c2-b412-6e67c5494aa3
[12:29:17 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e1b79431-bce3-47c2-b412-6e67c5494aa3
[12:29:17 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e43aa3f7-d288-446b-8e38-16165762e1ed
[12:29:17 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e43aa3f7-d288-446b-8e38-16165762e1ed
[12:29:17 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=4144b801-e54e-4818-b998-2f308ffc10e8
[12:29:17 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 4144b801-e54e-4818-b998-2f308ffc10e8
[12:29:17 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=174e6231-6da8-468b-aba7-e2c75c218614
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 174e6231-6da8-468b-aba7-e2c75c218614
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=a3458548-58c1-46be-8067-188207e2f94a
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: a3458548-58c1-46be-8067-188207e2f94a
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3e963e69-8c6a-4cb0-bff1-4e0a4cfbe5c9
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 3e963e69-8c6a-4cb0-bff1-4e0a4cfbe5c9
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d5703548-6daa-4d3c-bad3-a7002993dbac
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d5703548-6daa-4d3c-bad3-a7002993dbac
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3943d58b-a895-40a3-8a65-fd8209af9e1b
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 3943d58b-a895-40a3-8a65-fd8209af9e1b
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=76029e1f-1ed7-4ba3-93f8-f282fe44b08c
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 76029e1f-1ed7-4ba3-93f8-f282fe44b08c
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=521631fc-b2cf-43fc-ab2b-5c013d220f89
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 521631fc-b2cf-43fc-ab2b-5c013d220f89
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d5ca96cf-9f87-4e77-9f93-f2957c7b53f8
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d5ca96cf-9f87-4e77-9f93-f2957c7b53f8
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=44282a33-8c4e-4988-ab37-2ecf2d81ebd9
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 44282a33-8c4e-4988-ab37-2ecf2d81ebd9
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=eeb8645e-dc69-4431-88df-a8e4be909227
[12:29:18 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: eeb8645e-dc69-4431-88df-a8e4be909227
[12:29:18 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=969b6156-233b-4b77-adf2-1199aff98c2d
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 969b6156-233b-4b77-adf2-1199aff98c2d
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=80bd78ee-65bd-4ec4-90b5-b624081a2e03
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 80bd78ee-65bd-4ec4-90b5-b624081a2e03
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=9f1d0bcf-781e-4f32-ab53-dd90b672b59a
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 9f1d0bcf-781e-4f32-ab53-dd90b672b59a
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=6564e283-c202-4483-9b1e-5e547563eb21
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 6564e283-c202-4483-9b1e-5e547563eb21
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=05f7fcd3-ecd3-4655-8f99-c171765fff0a
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 05f7fcd3-ecd3-4655-8f99-c171765fff0a
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=85479c6b-5548-4f41-8d52-c543701b4a59
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 85479c6b-5548-4f41-8d52-c543701b4a59
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=0ba675a8-be6f-46f5-9f03-9a93c011f3ee
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 0ba675a8-be6f-46f5-9f03-9a93c011f3ee
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=54922266-b894-4956-9198-a4dbcfe112c1
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 54922266-b894-4956-9198-a4dbcfe112c1
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=29b20c5a-5c12-438a-a356-ff019550be29
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 29b20c5a-5c12-438a-a356-ff019550be29
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=ad77ae2a-1160-43c7-8e1f-d0b4de92e291
[12:29:19 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: ad77ae2a-1160-43c7-8e1f-d0b4de92e291
[12:29:19 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=ca04ff92-fca2-4b0d-b655-e5cc4227b240
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: ca04ff92-fca2-4b0d-b655-e5cc4227b240
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=6510380e-5b39-4bb3-a762-e0059b86bcbc
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 6510380e-5b39-4bb3-a762-e0059b86bcbc
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3efd2fde-abf6-45f3-9607-0012e21c30b2
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 3efd2fde-abf6-45f3-9607-0012e21c30b2
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=a4546843-1a6c-4bf5-8df5-cb4fe72919a4
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: a4546843-1a6c-4bf5-8df5-cb4fe72919a4
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=2866a38c-2551-47ef-b8f8-e0e600584738
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 2866a38c-2551-47ef-b8f8-e0e600584738
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b0f5141e-5e7a-474f-84df-38e12b1b2302
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b0f5141e-5e7a-474f-84df-38e12b1b2302
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=13ed5fdc-ec90-4011-870e-02dc69d9ca54
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 13ed5fdc-ec90-4011-870e-02dc69d9ca54
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c274a9ac-2ab8-4f1f-b20c-4c7997f449dd
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c274a9ac-2ab8-4f1f-b20c-4c7997f449dd
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=4367d91f-ad1a-4191-b031-b865d860e68a
[12:29:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 4367d91f-ad1a-4191-b031-b865d860e68a
[12:29:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e1978c72-a9ec-4385-b027-0890b38a0599
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e1978c72-a9ec-4385-b027-0890b38a0599
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=991cf099-f536-4ba6-8552-7cfd98ed1588
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 991cf099-f536-4ba6-8552-7cfd98ed1588
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=efa4962c-646b-42a4-a87d-2d542f9ca44a
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: efa4962c-646b-42a4-a87d-2d542f9ca44a
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d6108f44-6412-4987-bb1a-e53a1b014d8c
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d6108f44-6412-4987-bb1a-e53a1b014d8c
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=7b41fbe0-8245-457a-8c5b-31341d3f1316
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 7b41fbe0-8245-457a-8c5b-31341d3f1316
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=cd25b2c8-a576-4bf6-acd5-f9aa479e7309
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: cd25b2c8-a576-4bf6-acd5-f9aa479e7309
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=99924854-fd95-4e71-b5b8-446306b6e7f1
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 99924854-fd95-4e71-b5b8-446306b6e7f1
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=34637ac0-b1be-42a9-98ed-58d4fdc26894
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 34637ac0-b1be-42a9-98ed-58d4fdc26894
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=72b4d643-3bba-46a4-9cf4-b02f1575cd9b
